,Time,Temperature_Probe1,Temperature_Probe2
223,2.23,0.2,0.7
224,2.24,0.2,0.7
225,2.25,0.3,0.7
226,2.26,-0.5,0.6
227,2.27,0.4,0.7
228,2.28,0.2,0.7
229,2.29,0.2,0.7
230,2.3,0.3,0.7
231,2.31,-0.5,0.6
232,2.32,0.4,0.7
233,2.33,0.2,0.7
234,2.34,0.2,0.7
235,2.35,0.3,0.7
236,2.36,-0.5,0.6
237,2.37,0.4,0.7
238,2.38,0.2,0.7
239,2.39,0.3,0.7
240,2.4,0.3,0.7
241,2.41,-0.5,0.6
242,2.42,0.4,0.6
243,2.43,0.2,0.7
244,2.44,0.2,0.7
245,2.45,0.3,0.7
246,2.46,-0.5,0.5
247,2.47,0.4,0.6
248,2.48,0.2,0.7
249,2.49,0.2,0.7
250,2.5,0.3,0.7
251,2.51,-0.5,0.5
252,2.52,0.4,0.6
253,2.53,0.1,0.7
254,2.54,0.2,0.6
255,2.55,0.3,0.7
256,2.56,-0.5,0.5
257,2.57,0.4,0.6
258,2.58,0.1,0.7
259,2.59,0.1,0.6
260,2.6,0.4,0.7
261,2.61,-0.5,0.5
262,2.62,0.3,0.6
263,2.63,0.2,0.6
264,2.64,0.2,0.6
265,2.65,0.4,0.7
266,2.66,-0.5,0.5
267,2.67,0.3,0.6
268,2.68,0.2,0.7
269,2.69,0.2,0.6
270,2.7,0.3,0.7
271,2.71,-0.4,0.5
272,2.72,0.4,0.6
273,2.73,0.2,0.7
274,2.74,0.2,0.6
275,2.75,0.3,0.6
276,2.76,-0.5,0.5
277,2.77,0.4,0.6
278,2.78,0.1,0.6
279,2.79,0.2,0.6
280,2.8,0.3,0.6
281,2.81,-0.4,0.5
282,2.82,0.4,0.6
283,2.83,0.2,0.6
284,2.84,0.2,0.6
285,2.85,0.4,0.7
286,2.86,-0.4,0.5
287,2.87,0.3,0.6
288,2.88,0.2,0.7
289,2.89,0.3,0.6
290,2.9,0.3,0.6
291,2.91,-0.5,0.5
292,2.92,0.4,0.6
293,2.93,0.1,0.6
294,2.94,0.2,0.6
295,2.95,0.3,0.6
296,2.96,-0.4,0.5
297,2.97,0.3,0.6
298,2.98,0.2,0.6
299,2.99,0.2,0.6
300,3.0,0.3,0.6
301,3.01,-0.4,0.5
302,3.02,0.4,0.6
303,3.03,0.2,0.7
304,3.04,0.2,0.6
305,3.05,0.3,0.6
306,3.06,-0.4,0.5
307,3.07,0.3,0.6
308,3.08,0.2,0.6
309,3.09,0.2,0.6
310,3.1,0.3,0.6
311,3.11,-0.4,0.5
312,3.12,0.4,0.6
313,3.13,0.1,0.6
314,3.14,0.2,0.6
315,3.15,0.3,0.6
316,3.16,-0.4,0.5
317,3.17,0.4,0.6
318,3.18,0.2,0.6
319,3.19,0.2,0.6
320,3.2,0.3,0.6
321,3.21,-0.4,0.5
322,3.22,0.4,0.5
323,3.23,0.1,0.6
324,3.24,0.2,0.6
325,3.25,0.3,0.6
326,3.26,-0.4,0.5
327,3.27,0.4,0.6
328,3.28,0.2,0.6
329,3.29,0.2,0.6
330,3.3,0.3,0.6
331,3.31,-0.4,0.5
332,3.32,0.4,0.6
333,3.33,0.1,0.6
334,3.34,0.2,0.5
335,3.35,0.3,0.6
336,3.36,-0.4,0.5
337,3.37,0.3,0.5
338,3.38,0.2,0.6
339,3.39,0.2,0.6
340,3.4,0.3,0.6
341,3.41,-0.4,0.5
342,3.42,0.3,0.5
343,3.43,0.2,0.6
344,3.44,0.2,0.6
345,3.45,0.3,0.6
346,3.46,-0.4,0.5
347,3.47,0.3,0.5
348,3.48,0.2,0.6
349,3.49,0.2,0.5
350,3.5,0.3,0.6
351,3.51,-0.4,0.5
352,3.52,0.3,0.5
353,3.53,0.2,0.6
354,3.54,0.1,0.5
355,3.55,0.4,0.6
356,3.56,-0.4,0.5
357,3.57,0.3,0.5
358,3.58,0.3,0.6
359,3.59,0.2,0.5
360,3.6,0.3,0.6
361,3.61,-0.4,0.5
362,3.62,0.3,0.5
363,3.63,0.2,0.6
364,3.64,0.3,0.6
365,3.65,0.3,0.5
366,3.66,-0.5,0.4
367,3.67,0.3,0.5
368,3.68,0.2,0.6
369,3.69,0.2,0.5
370,3.7,0.3,0.5
371,3.71,-0.5,0.4
372,3.72,0.4,0.5
373,3.73,0.2,0.6
374,3.74,0.2,0.5
375,3.75,0.3,0.5
376,3.76,-0.4,0.5
377,3.77,0.4,0.5
378,3.78,0.1,0.5
379,3.79,0.2,0.5
380,3.8,0.3,0.6
381,3.81,-0.4,0.4
382,3.82,0.3,0.5
383,3.83,0.1,0.6
384,3.84,0.2,0.5
385,3.85,0.3,0.6
386,3.86,-0.4,0.5
387,3.87,0.4,0.5
388,3.88,0.2,0.5
389,3.89,0.1,0.5
390,3.9,0.3,0.6
391,3.91,-0.4,0.5
392,3.92,0.4,0.5
393,3.93,0.1,0.6
394,3.94,0.2,0.5
395,3.95,0.3,0.6
396,3.96,-0.4,0.4
397,3.97,0.4,0.5
398,3.98,0.1,0.6
399,3.99,0.2,0.5
400,4.0,0.4,0.6
401,4.01,-0.3,0.5
402,4.02,0.4,0.5
403,4.03,0.2,0.6
404,4.04,0.2,0.5
405,4.05,0.3,0.5
406,4.06,-0.4,0.5
407,4.07,0.3,0.4
408,4.08,0.2,0.6
409,4.09,0.2,0.5
410,4.1,0.3,0.5
411,4.11,-0.4,0.4
412,4.12,0.4,0.5
413,4.13,0.2,0.5
414,4.14,0.2,0.5
415,4.15,0.3,0.6
416,4.16,-0.4,0.4
417,4.17,0.4,0.5
418,4.18,0.2,0.5
419,4.19,0.2,0.5
420,4.2,0.3,0.5
421,4.21,-0.3,0.5
422,4.22,0.4,0.5
423,4.23,0.2,0.6
424,4.24,0.2,0.5
425,4.25,0.3,0.5
426,4.26,-0.4,0.4
427,4.27,0.4,0.5
428,4.28,0.2,0.6
429,4.29,0.1,0.5
430,4.3,0.3,0.5
431,4.31,-0.3,0.4
