Time,Temperature 
2025-02-14 10:53:39.990246,5.7734375
2025-02-14 10:53:40.153700,6.515625
2025-02-14 10:53:40.317685,7.25
2025-02-14 10:53:40.482228,7.5625
2025-02-14 10:53:40.648760,7.9375
2025-02-14 10:53:40.812755,7.6484375
2025-02-14 10:53:40.977577,7.3359375
2025-02-14 10:53:41.141577,7.609375
2025-02-14 10:53:41.308407,7.7578125
2025-02-14 10:53:41.473957,7.7265625
2025-02-14 10:53:41.638185,7.828125
2025-02-14 10:53:41.801655,7.7890625
2025-02-14 10:53:41.964964,7.8671875
2025-02-14 10:53:42.128815,7.8125
2025-02-14 10:53:42.296456,7.828125
2025-02-14 10:53:42.461456,8.0
2025-02-14 10:53:42.625976,7.9453125
2025-02-14 10:53:42.791194,7.9609375
2025-02-14 10:53:42.955683,7.890625
2025-02-14 10:53:43.121031,7.84375
2025-02-14 10:53:43.285773,7.921875
2025-02-14 10:53:43.452440,8.1484375
2025-02-14 10:53:43.616816,8.4375
2025-02-14 10:53:43.781256,8.5234375
2025-02-14 10:53:43.948014,8.6953125
2025-02-14 10:53:44.111633,8.6953125
2025-02-14 10:53:44.278575,8.8671875
2025-02-14 10:53:44.442260,8.8984375
2025-02-14 10:53:44.607033,8.9375
2025-02-14 10:53:44.772113,9.046875
2025-02-14 10:53:44.937633,9.015625
2025-02-14 10:53:45.102130,9.0625
2025-02-14 10:53:45.265897,9.0703125
2025-02-14 10:53:45.429468,9.0859375
2025-02-14 10:53:45.593702,9.0703125
2025-02-14 10:53:45.759725,9.125
2025-02-14 10:53:45.923111,9.1484375
2025-02-14 10:53:46.089419,6.3984375
2025-02-14 10:53:46.253986,7.1171875
2025-02-14 10:53:46.420112,30.53125
2025-02-14 10:53:46.584367,92.859375
2025-02-14 10:53:46.749249,97.9453125
2025-02-14 10:53:46.906180,97.8125
2025-02-14 10:53:47.063200,97.734375
2025-02-14 10:53:47.219546,97.71875
2025-02-14 10:53:47.376464,97.59375
2025-02-14 10:53:47.534027,97.8359375
2025-02-14 10:53:47.691274,97.625
2025-02-14 10:53:47.849046,97.6484375
2025-02-14 10:53:48.005732,97.71875
2025-02-14 10:53:48.162350,97.6953125
2025-02-14 10:53:48.318886,97.7890625
2025-02-14 10:53:48.476110,97.7109375
2025-02-14 10:53:48.632521,97.7890625
2025-02-14 10:53:48.790020,97.734375
2025-02-14 10:53:48.946403,97.8359375
2025-02-14 10:53:49.102753,97.7109375
2025-02-14 10:53:49.259099,97.828125
2025-02-14 10:53:49.416274,97.828125
2025-02-14 10:53:49.573080,97.671875
2025-02-14 10:53:49.732951,97.90625
2025-02-14 10:53:49.892568,97.921875
2025-02-14 10:53:50.049964,97.8828125
2025-02-14 10:53:50.206636,97.8828125
2025-02-14 10:53:50.365181,97.8984375
2025-02-14 10:53:50.522044,97.90625
2025-02-14 10:53:50.681328,97.8828125
2025-02-14 10:53:50.838220,97.859375
2025-02-14 10:53:50.994868,97.8984375
2025-02-14 10:53:51.152043,97.859375
2025-02-14 10:53:51.308782,97.984375
2025-02-14 10:53:51.466959,98.0078125
2025-02-14 10:53:51.623644,97.953125
2025-02-14 10:53:51.785311,97.9921875
2025-02-14 10:53:51.949178,97.7890625
2025-02-14 10:53:52.113958,98.03125
2025-02-14 10:53:52.278039,97.953125
2025-02-14 10:53:52.442696,98.0625
2025-02-14 10:53:52.606269,97.859375
2025-02-14 10:53:52.770154,97.921875
2025-02-14 10:53:52.935693,97.953125
2025-02-14 10:53:53.099620,97.90625
2025-02-14 10:53:53.264137,97.953125
2025-02-14 10:53:53.428951,97.921875
2025-02-14 10:53:53.594368,97.8515625
2025-02-14 10:53:53.751164,97.859375
2025-02-14 10:53:53.909153,97.7890625
2025-02-14 10:53:54.066026,97.8515625
2025-02-14 10:53:54.223200,97.9296875
2025-02-14 10:53:54.380469,97.7578125
2025-02-14 10:53:54.537189,97.90625
2025-02-14 10:53:54.696636,97.8359375
2025-02-14 10:53:54.855616,97.8515625
