Month,Day,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,11,28.0,52.0,42.0,36.0,46.0,62.0,25.0,50.0,53.0,53.0,34.0,37.0,36.0,42.0,52.0,38.0,64.0,39.0,55.0,33.0,70.0,38.0,39.0,46.0,47.0,30.0,48.0,47.0,33.0,45.0,40.0,60.0,35.0,36.0,35.0,65.0,49.0,40.0,40.0,39.0,55.0,47.0,59.0,42.0,45.0,39.0,61.0,35.0,34.0,34.0,41.0,48.0,30.0,45.0,59.0,39.0,55.0,65.0,49.0,47.0,42.0,29.0,36.0,40.0,35.0,48.0,39.0,60.0,56.0,16.0,52.0,35.0,30.0,46.0,40.0,23.0,30.0,29.0,45.0,55.0,,60.0,66.0,43.0,20.0,28.0,33.0,45.0,20.0,15.0,,39.0,32.0,58.0,39.0,28.0,49.0,56.0,37.0,49.0,35.0,29.0,38.0,29.0,37.0,55.0,34.0,57.0,51.0,62.0,43.0,17.0,60.0,53.0,33.0,43.0,39.0,28.0,29.0,48.0,55.0,53.0,28.0,54.0,37.0,45.0,30.0,63.0,43.0,40.0,53.0,45.0,26.0
1,12,34.0,37.0,37.0,54.0,30.0,65.0,33.0,40.0,46.0,29.0,42.0,30.0,49.0,43.0,57.0,45.0,50.0,42.0,69.0,32.0,60.0,34.0,35.0,43.0,26.0,27.0,38.0,42.0,39.0,33.0,46.0,45.0,30.0,34.0,33.0,60.0,43.0,57.0,40.0,51.0,53.0,45.0,44.0,50.0,55.0,35.0,48.0,42.0,53.0,39.0,41.0,43.0,45.0,51.0,55.0,46.0,41.0,43.0,40.0,50.0,40.0,28.0,32.0,42.0,47.0,39.0,46.0,42.0,50.0,29.0,54.0,33.0,37.0,38.0,46.0,19.0,30.0,37.0,47.0,54.0,,53.0,59.0,46.0,22.0,35.0,26.0,49.0,18.0,24.0,,24.0,30.0,60.0,46.0,39.0,48.0,52.0,37.0,56.0,37.0,43.0,45.0,21.0,26.0,53.0,37.0,50.0,58.0,44.0,33.0,42.0,52.0,50.0,41.0,60.0,49.0,31.0,28.0,39.0,45.0,51.0,45.0,37.0,50.0,57.0,30.0,65.0,40.0,,45.0,47.0,35.0
1,13,23.0,46.0,4.0,42.0,27.0,52.0,38.0,38.0,41.0,31.0,24.0,37.0,50.0,41.0,54.0,41.0,43.0,42.0,70.0,13.0,36.0,28.0,39.0,54.0,31.0,23.0,47.0,48.0,39.0,26.0,42.0,46.0,41.0,30.0,36.0,64.0,40.0,65.0,40.0,78.0,33.0,48.0,52.0,62.0,51.0,37.0,43.0,39.0,51.0,45.0,35.0,31.0,44.0,45.0,41.0,39.0,48.0,59.0,37.0,51.0,57.0,19.0,33.0,45.0,48.0,43.0,54.0,62.0,52.0,39.0,50.0,20.0,44.0,35.0,54.0,25.0,32.0,35.0,38.0,65.0,,28.0,33.0,46.0,22.0,32.0,31.0,35.0,29.0,24.0,,24.0,41.0,53.0,50.0,45.0,50.0,37.0,40.0,56.0,58.0,43.0,62.0,31.0,31.0,40.0,51.0,52.0,46.0,50.0,33.0,54.0,67.0,60.0,54.0,48.0,48.0,29.0,29.0,47.0,70.0,51.0,43.0,39.0,67.0,65.0,28.0,64.0,48.0,50.0,53.0,52.0,37.0
1,14,23.0,59.0,25.0,36.0,28.0,45.0,61.0,58.0,45.0,38.0,39.0,34.0,30.0,35.0,71.0,37.0,38.0,34.0,70.0,19.0,45.0,32.0,51.0,45.0,40.0,34.0,48.0,41.0,37.0,25.0,53.0,42.0,35.0,30.0,51.0,66.0,30.0,62.0,35.0,77.0,34.0,46.0,58.0,52.0,62.0,35.0,34.0,38.0,39.0,51.0,40.0,47.0,35.0,40.0,39.0,34.0,55.0,59.0,36.0,67.0,58.0,30.0,34.0,43.0,39.0,43.0,53.0,62.0,50.0,40.0,35.0,21.0,43.0,40.0,54.0,38.0,34.0,38.0,60.0,60.0,,34.0,29.0,51.0,34.0,36.0,42.0,34.0,41.0,25.0,,38.0,45.0,31.0,60.0,24.0,35.0,46.0,44.0,55.0,40.0,38.0,64.0,37.0,30.0,58.0,54.0,41.0,48.0,45.0,47.0,50.0,68.0,62.0,61.0,41.0,42.0,38.0,61.0,48.0,67.0,56.0,38.0,32.0,63.0,29.0,30.0,53.0,49.0,47.0,50.0,,44.0
1,15,29.0,54.0,40.0,36.0,33.0,55.0,50.0,55.0,61.0,50.0,44.0,36.0,39.0,40.0,60.0,40.0,60.0,38.0,64.0,31.0,50.0,47.0,53.0,29.0,33.0,30.0,47.0,37.0,39.0,50.0,50.0,36.0,39.0,40.0,40.0,68.0,52.0,60.0,33.0,74.0,46.0,48.0,51.0,38.0,65.0,35.0,36.0,40.0,30.0,50.0,47.0,42.0,39.0,41.0,54.0,24.0,47.0,53.0,48.0,70.0,60.0,35.0,45.0,52.0,23.0,41.0,64.0,64.0,45.0,52.0,35.0,25.0,25.0,38.0,49.0,37.0,39.0,35.0,58.0,32.0,,58.0,34.0,40.0,38.0,33.0,32.0,49.0,36.0,26.0,,35.0,41.0,32.0,60.0,30.0,58.0,56.0,52.0,34.0,43.0,38.0,65.0,45.0,35.0,41.0,29.0,39.0,54.0,53.0,35.0,41.0,47.0,57.0,65.0,38.0,30.0,48.0,34.0,36.0,61.0,48.0,26.0,54.0,40.0,25.0,30.0,50.0,49.0,45.0,37.0,39.0,35.0
1,16,15.0,62.0,39.0,40.0,36.0,43.0,48.0,61.0,61.0,47.0,50.0,43.0,37.0,52.0,49.0,47.0,42.0,44.0,47.0,24.0,62.0,46.0,47.0,49.0,33.0,31.0,51.0,33.0,37.0,48.0,38.0,46.0,38.0,36.0,31.0,63.0,44.0,60.0,42.0,73.0,53.0,46.0,45.0,46.0,51.0,42.0,40.0,35.0,31.0,46.0,66.0,38.0,34.0,33.0,60.0,44.0,65.0,52.0,38.0,65.0,65.0,46.0,40.0,39.0,30.0,38.0,55.0,55.0,34.0,47.0,40.0,35.0,23.0,32.0,37.0,33.0,39.0,45.0,31.0,21.0,,69.0,39.0,45.0,33.0,25.0,45.0,48.0,38.0,41.0,,36.0,32.0,55.0,52.0,44.0,50.0,62.0,50.0,30.0,38.0,8.0,60.0,46.0,33.0,32.0,36.0,60.0,58.0,49.0,31.0,36.0,47.0,38.0,65.0,26.0,26.0,52.0,40.0,30.0,38.0,48.0,38.0,44.0,44.0,30.0,37.0,61.0,46.0,37.0,40.0,30.0,33.0
1,17,19.0,40.0,40.0,42.0,47.0,38.0,33.0,40.0,60.0,41.0,50.0,40.0,47.0,45.0,37.0,38.0,36.0,40.0,28.0,40.0,64.0,50.0,50.0,41.0,42.0,34.0,55.0,38.0,35.0,35.0,30.0,49.0,44.0,42.0,44.0,65.0,46.0,32.0,52.0,59.0,62.0,44.0,59.0,39.0,40.0,58.0,39.0,32.0,40.0,41.0,74.0,36.0,37.0,33.0,57.0,39.0,60.0,39.0,57.0,50.0,59.0,40.0,43.0,40.0,25.0,34.0,23.0,40.0,50.0,39.0,47.0,36.0,21.0,31.0,50.0,32.0,49.0,43.0,35.0,43.0,,65.0,37.0,41.0,13.0,28.0,46.0,47.0,26.0,34.0,,36.0,41.0,56.0,41.0,45.0,49.0,69.0,49.0,45.0,48.0,17.0,50.0,36.0,39.0,41.0,52.0,60.0,58.0,41.0,28.0,30.0,38.0,43.0,45.0,39.0,17.0,51.0,40.0,42.0,45.0,35.0,44.0,51.0,44.0,40.0,44.0,56.0,37.0,30.0,49.0,31.0,40.0
1,18,20.0,40.0,40.0,52.0,46.0,41.0,48.0,37.0,35.0,53.0,42.0,29.0,45.0,55.0,44.0,45.0,40.0,53.0,40.0,46.0,64.0,37.0,56.0,32.0,50.0,34.0,56.0,30.0,32.0,40.0,48.0,42.0,41.0,49.0,41.0,59.0,62.0,32.0,46.0,57.0,57.0,40.0,54.0,49.0,57.0,49.0,37.0,29.0,46.0,60.0,66.0,33.0,35.0,43.0,45.0,27.0,52.0,64.0,63.0,55.0,60.0,33.0,38.0,38.0,19.0,32.0,20.0,39.0,47.0,35.0,45.0,42.0,30.0,32.0,43.0,41.0,50.0,42.0,28.0,54.0,,49.0,40.0,21.0,15.0,35.0,49.0,43.0,43.0,35.0,,31.0,38.0,64.0,33.0,59.0,54.0,71.0,45.0,37.0,45.0,35.0,50.0,50.0,19.0,40.0,55.0,30.0,41.0,55.0,27.0,36.0,19.0,57.0,32.0,31.0,24.0,39.0,35.0,56.0,45.0,47.0,41.0,34.0,56.0,23.0,33.0,37.0,42.0,31.0,53.0,31.0,33.0
1,19,33.0,48.0,45.0,42.0,36.0,37.0,52.0,44.0,30.0,50.0,32.0,25.0,47.0,50.0,64.0,53.0,39.0,49.0,45.0,46.0,59.0,47.0,61.0,38.0,46.0,29.0,57.0,46.0,22.0,50.0,52.0,55.0,40.0,54.0,50.0,53.0,63.0,35.0,52.0,50.0,65.0,49.0,34.0,40.0,56.0,27.0,36.0,27.0,43.0,55.0,57.0,40.0,37.0,47.0,44.0,28.0,61.0,60.0,66.0,47.0,60.0,60.0,35.0,33.0,35.0,40.0,35.0,37.0,40.0,32.0,43.0,42.0,25.0,33.0,27.0,49.0,49.0,34.0,23.0,58.0,,60.0,47.0,32.0,25.0,30.0,28.0,44.0,57.0,31.0,,30.0,35.0,57.0,39.0,51.0,57.0,60.0,51.0,29.0,33.0,16.0,49.0,59.0,14.0,42.0,52.0,27.0,36.0,44.0,27.0,45.0,22.0,50.0,39.0,31.0,34.0,54.0,34.0,50.0,40.0,32.0,53.0,28.0,59.0,45.0,45.0,37.0,36.0,37.0,64.0,36.0,46.0
1,20,28.0,38.0,38.0,37.0,32.0,52.0,45.0,61.0,47.0,40.0,24.0,49.0,52.0,60.0,62.0,52.0,54.0,56.0,49.0,36.0,62.0,61.0,50.0,54.0,43.0,17.0,55.0,47.0,43.0,51.0,43.0,49.0,45.0,60.0,56.0,43.0,57.0,32.0,51.0,59.0,64.0,48.0,39.0,34.0,38.0,35.0,34.0,25.0,34.0,50.0,29.0,47.0,35.0,38.0,55.0,36.0,59.0,35.0,65.0,57.0,51.0,60.0,34.0,40.0,40.0,49.0,49.0,32.0,33.0,42.0,61.0,42.0,47.0,35.0,41.0,48.0,40.0,22.0,30.0,53.0,,49.0,40.0,45.0,29.0,31.0,32.0,46.0,52.0,34.0,,22.0,30.0,52.0,41.0,49.0,48.0,48.0,54.0,40.0,41.0,10.0,45.0,54.0,27.0,42.0,54.0,41.0,37.0,30.0,37.0,30.0,33.0,57.0,42.0,45.0,36.0,55.0,47.0,37.0,54.0,32.0,50.0,22.0,51.0,50.0,40.0,37.0,45.0,45.0,54.0,25.0,38.0
