Month,Day,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,11,-9.0,32.0,29.0,23.0,24.0,28.0,8.0,25.0,39.0,23.0,25.0,20.0,18.0,13.0,22.0,12.0,40.0,8.0,26.0,7.0,32.0,21.0,23.0,33.0,16.0,11.0,22.0,24.0,,28.0,13.0,40.0,25.0,-4.0,11.0,34.0,26.0,21.0,22.0,20.0,34.0,18.0,38.0,30.0,34.0,27.0,35.0,24.0,24.0,0.0,23.0,15.0,6.0,28.0,25.0,12.0,39.0,38.0,30.0,23.0,32.0,18.0,25.0,37.0,15.0,26.0,14.0,40.0,18.0,-5.0,38.0,15.0,14.0,26.0,22.0,11.0,10.0,4.0,21.0,41.0,,48.0,40.0,22.0,8.0,2.0,15.0,27.0,1.0,-3.0,,18.0,16.0,28.0,33.0,-5.0,24.0,29.0,30.0,29.0,28.0,7.0,27.0,3.0,13.0,28.0,11.0,37.0,23.0,40.0,17.0,3.0,30.0,36.0,18.0,28.0,25.0,7.0,16.0,22.0,30.0,30.0,7.0,21.0,18.0,32.0,18.0,37.0,21.0,14.0,20.0,21.0,4.0
1,12,7.0,22.0,19.0,20.0,19.0,47.0,17.0,26.0,28.0,12.0,8.0,15.0,25.0,28.0,31.0,29.0,30.0,20.0,42.0,7.0,33.0,15.0,27.0,33.0,8.0,11.0,22.0,21.0,,14.0,26.0,27.0,20.0,14.0,1.0,29.0,15.0,21.0,30.0,28.0,28.0,22.0,26.0,33.0,35.0,28.0,35.0,30.0,13.0,15.0,31.0,25.0,20.0,33.0,31.0,24.0,30.0,24.0,18.0,30.0,28.0,9.0,5.0,35.0,18.0,10.0,13.0,32.0,26.0,2.0,37.0,15.0,8.0,11.0,18.0,0.0,6.0,22.0,29.0,27.0,,23.0,33.0,30.0,0.0,9.0,16.0,33.0,1.0,1.0,,10.0,17.0,18.0,30.0,2.0,35.0,30.0,30.0,26.0,33.0,19.0,29.0,2.0,11.0,27.0,23.0,28.0,25.0,22.0,15.0,3.0,34.0,32.0,18.0,30.0,25.0,10.0,16.0,27.0,38.0,38.0,7.0,21.0,33.0,42.0,18.0,55.0,21.0,14.0,33.0,21.0,16.0
1,13,-1.0,16.0,-12.0,28.0,12.0,30.0,25.0,22.0,19.0,12.0,5.0,22.0,22.0,25.0,39.0,31.0,16.0,29.0,42.0,-14.0,19.0,10.0,30.0,33.0,18.0,0.0,20.0,22.0,,-4.0,21.0,22.0,21.0,0.0,16.0,36.0,20.0,31.0,30.0,40.0,20.0,30.0,30.0,33.0,38.0,29.0,25.0,31.0,25.0,28.0,17.0,15.0,34.0,25.0,29.0,32.0,30.0,32.0,16.0,27.0,27.0,2.0,20.0,31.0,29.0,15.0,27.0,35.0,18.0,3.0,33.0,12.0,12.0,19.0,27.0,11.0,7.0,9.0,27.0,41.0,,14.0,28.0,23.0,5.0,23.0,22.0,24.0,0.0,18.0,,12.0,18.0,24.0,29.0,23.0,21.0,25.0,27.0,34.0,34.0,19.0,42.0,14.0,11.0,34.0,36.0,27.0,21.0,21.0,14.0,26.0,42.0,31.0,37.0,27.0,22.0,11.0,18.0,25.0,39.0,27.0,31.0,14.0,50.0,29.0,27.0,34.0,21.0,26.0,34.0,25.0,16.0
1,14,-6.0,28.0,4.0,19.0,21.0,28.0,26.0,20.0,17.0,11.0,10.0,17.0,10.0,28.0,40.0,22.0,18.0,26.0,46.0,-25.0,18.0,3.0,25.0,15.0,27.0,9.0,27.0,22.0,27.0,-5.0,25.0,20.0,10.0,4.0,30.0,37.0,4.0,30.0,20.0,39.0,22.0,32.0,27.0,21.0,44.0,20.0,17.0,31.0,21.0,25.0,14.0,16.0,28.0,18.0,30.0,15.0,31.0,45.0,28.0,36.0,32.0,10.0,18.0,25.0,12.0,29.0,19.0,35.0,29.0,15.0,12.0,6.0,18.0,22.0,38.0,24.0,10.0,15.0,29.0,28.0,,19.0,13.0,35.0,20.0,23.0,28.0,24.0,19.0,15.0,,23.0,27.0,13.0,27.0,15.0,16.0,20.0,18.0,32.0,33.0,30.0,43.0,12.0,12.0,23.0,27.0,17.0,19.0,28.0,20.0,19.0,46.0,33.0,47.0,25.0,13.0,11.0,16.0,21.0,51.0,38.0,20.0,14.0,31.0,10.0,23.0,34.0,22.0,28.0,30.0,,16.0
1,15,-5.0,35.0,7.0,8.0,22.0,34.0,30.0,30.0,31.0,23.0,24.0,10.0,12.0,31.0,42.0,15.0,29.0,21.0,40.0,3.0,25.0,18.0,30.0,6.0,16.0,12.0,32.0,15.0,28.0,14.0,34.0,25.0,5.0,12.0,13.0,47.0,17.0,43.0,18.0,39.0,22.0,31.0,16.0,30.0,50.0,26.0,6.0,31.0,25.0,26.0,35.0,27.0,29.0,28.0,37.0,2.0,23.0,25.0,33.0,50.0,32.0,28.0,23.0,15.0,6.0,32.0,39.0,40.0,30.0,30.0,13.0,0.0,2.0,13.0,32.0,25.0,7.0,13.0,29.0,19.0,,26.0,8.0,23.0,20.0,19.0,14.0,32.0,19.0,10.0,,23.0,18.0,11.0,34.0,11.0,29.0,35.0,27.0,15.0,30.0,5.0,58.0,18.0,12.0,22.0,26.0,17.0,27.0,26.0,19.0,18.0,23.0,23.0,52.0,26.0,17.0,18.0,16.0,20.0,34.0,25.0,20.0,24.0,31.0,10.0,19.0,32.0,24.0,23.0,18.0,21.0,9.0
1,16,-16.0,38.0,31.0,10.0,22.0,30.0,28.0,22.0,32.0,27.0,30.0,15.0,10.0,35.0,26.0,25.0,17.0,12.0,19.0,-3.0,35.0,25.0,22.0,21.0,14.0,4.0,21.0,22.0,16.0,19.0,26.0,29.0,20.0,4.0,2.0,33.0,22.0,29.0,11.0,24.0,22.0,27.0,26.0,29.0,31.0,20.0,21.0,26.0,26.0,31.0,35.0,23.0,27.0,13.0,40.0,15.0,33.0,36.0,28.0,32.0,40.0,31.0,26.0,30.0,10.0,30.0,14.0,29.0,26.0,27.0,15.0,16.0,13.0,23.0,21.0,18.0,10.0,14.0,17.0,-7.0,,40.0,18.0,28.0,5.0,4.0,25.0,24.0,25.0,7.0,,20.0,7.0,15.0,35.0,11.0,34.0,33.0,37.0,14.0,30.0,-4.0,46.0,18.0,13.0,28.0,23.0,16.0,27.0,19.0,10.0,11.0,23.0,23.0,44.0,17.0,3.0,24.0,23.0,15.0,32.0,20.0,22.0,26.0,34.0,10.0,12.0,32.0,25.0,12.0,18.0,8.0,14.0
1,17,-6.0,35.0,16.0,30.0,25.0,29.0,29.0,29.0,29.0,13.0,30.0,10.0,17.0,27.0,22.0,14.0,9.0,24.0,15.0,-2.0,45.0,30.0,32.0,6.0,14.0,14.0,32.0,19.0,23.0,18.0,12.0,30.0,30.0,30.0,17.0,38.0,25.0,17.0,42.0,40.0,38.0,22.0,26.0,27.0,30.0,33.0,23.0,18.0,29.0,18.0,46.0,24.0,19.0,18.0,30.0,25.0,45.0,17.0,20.0,32.0,30.0,21.0,20.0,23.0,1.0,21.0,5.0,23.0,15.0,21.0,18.0,15.0,6.0,13.0,24.0,5.0,30.0,27.0,18.0,-1.0,,49.0,18.0,19.0,-4.0,21.0,29.0,35.0,17.0,-9.0,,24.0,23.0,23.0,28.0,26.0,21.0,34.0,38.0,11.0,26.0,-4.0,35.0,23.0,4.0,32.0,27.0,16.0,22.0,21.0,12.0,11.0,14.0,25.0,16.0,17.0,-3.0,25.0,25.0,18.0,33.0,21.0,21.0,28.0,35.0,20.0,15.0,27.0,28.0,13.0,18.0,1.0,16.0
1,18,-11.0,30.0,19.0,22.0,26.0,21.0,24.0,27.0,14.0,23.0,22.0,7.0,25.0,33.0,22.0,22.0,16.0,33.0,15.0,26.0,47.0,17.0,40.0,5.0,27.0,6.0,40.0,11.0,13.0,24.0,22.0,26.0,21.0,32.0,24.0,38.0,34.0,18.0,29.0,45.0,41.0,16.0,32.0,30.0,35.0,23.0,29.0,17.0,35.0,31.0,41.0,22.0,4.0,26.0,32.0,11.0,39.0,33.0,41.0,41.0,34.0,11.0,17.0,11.0,5.0,25.0,-4.0,34.0,35.0,18.0,25.0,14.0,6.0,13.0,23.0,11.0,36.0,32.0,4.0,20.0,,31.0,25.0,6.0,-2.0,19.0,25.0,40.0,9.0,6.0,,23.0,27.0,37.0,29.0,35.0,24.0,48.0,28.0,23.0,25.0,16.0,29.0,23.0,4.0,30.0,28.0,16.0,22.0,26.0,4.0,15.0,6.0,33.0,18.0,22.0,-2.0,35.0,23.0,31.0,28.0,18.0,21.0,11.0,41.0,8.0,24.0,26.0,27.0,23.0,47.0,1.0,30.0
1,19,4.0,33.0,34.0,32.0,28.0,20.0,12.0,32.0,12.0,26.0,9.0,-3.0,25.0,25.0,30.0,17.0,0.0,28.0,11.0,28.0,28.0,27.0,54.0,6.0,25.0,4.0,39.0,11.0,7.0,32.0,26.0,28.0,22.0,37.0,30.0,38.0,46.0,-12.0,31.0,24.0,41.0,24.0,25.0,24.0,36.0,20.0,20.0,4.0,21.0,44.0,25.0,17.0,23.0,33.0,28.0,1.0,41.0,24.0,33.0,25.0,28.0,27.0,24.0,19.0,10.0,11.0,9.0,30.0,22.0,24.0,25.0,15.0,2.0,12.0,9.0,16.0,40.0,17.0,5.0,35.0,,38.0,31.0,2.0,0.0,10.0,12.0,22.0,22.0,16.0,,18.0,27.0,45.0,32.0,31.0,36.0,34.0,28.0,10.0,23.0,-12.0,32.0,41.0,0.0,30.0,34.0,18.0,30.0,26.0,3.0,15.0,5.0,25.0,22.0,22.0,21.0,32.0,24.0,15.0,26.0,19.0,32.0,6.0,29.0,8.0,28.0,28.0,27.0,23.0,39.0,10.0,33.0
1,20,-7.0,20.0,18.0,28.0,15.0,37.0,7.0,36.0,9.0,10.0,11.0,20.0,27.0,35.0,36.0,18.0,21.0,25.0,20.0,14.0,46.0,34.0,31.0,34.0,23.0,10.0,25.0,20.0,15.0,35.0,28.0,29.0,21.0,30.0,39.0,26.0,30.0,-13.0,29.0,25.0,37.0,18.0,20.0,19.0,31.0,18.0,12.0,2.0,12.0,34.0,8.0,20.0,25.0,22.0,35.0,11.0,23.0,14.0,37.0,39.0,34.0,35.0,17.0,24.0,12.0,14.0,34.0,19.0,14.0,18.0,35.0,31.0,18.0,13.0,7.0,29.0,27.0,12.0,8.0,31.0,,36.0,23.0,21.0,8.0,19.0,24.0,28.0,29.0,20.0,,-4.0,-5.0,29.0,31.0,33.0,30.0,36.0,33.0,16.0,14.0,-13.0,40.0,11.0,1.0,25.0,34.0,26.0,32.0,19.0,19.0,14.0,18.0,25.0,27.0,24.0,13.0,32.0,26.0,17.0,27.0,23.0,23.0,5.0,30.0,28.0,31.0,18.0,28.0,27.0,35.0,13.0,12.0
